stock1,stock2,trade_capital,open,loss,reward,open_num
1101,1789,264.86600000000004,1.5,3.5,0.37669999999997117,1
1101,2883,97.05420000000001,3.0,5.0,0.20420000000001437,1
1101,2887,82.925425,1.5,3.5,0.1754250000000077,1
1101,6116,47.00642500000001,1.0,3.0,-0.02364999999999995,1
1319,2353,98.75607500000001,1.5,3.5,0.09257500000000363,1
1326,2823,156.0629,2.5,4.5,0.2547500000000156,1
1477,1536,1012.0915,3.0,5.0,-5.11099999999999,1
1477,2002,305.44425,2.0,4.0,-0.22324999999999307,1
1477,2330,949.37125,2.0,4.0,1.0412500000000477,1
1477,2618,297.52000000000004,2.0,4.0,-0.4604999999999819,1
1477,2867,282.123625,2.0,4.0,0.2928750000000093,1
1477,2887,251.46900000000002,2.0,4.0,-0.16024999999999778,1
1477,5880,260.325,2.0,4.0,-0.18424999999997738,1
1536,2002,209.60750000000002,2.0,4.0,-0.08449999999999136,1
1536,2353,173.6615,2.5,4.5,1.4680000000000035,1
1536,2610,171.6645,3.0,5.0,1.4710000000000036,1
1536,2888,156.8865,2.5,4.5,0.35954999999999515,1
1536,5880,177.97500000000002,2.0,4.0,0.4522500000000065,1
1789,2002,134.955,2.5,4.5,0.2743250000000117,1
1789,2337,74.18855,1.0,3.0,-0.011449999999992855,1
1789,2618,127.71000000000001,1.5,3.5,-0.06307499999999067,1
1789,2881,339.503875,1.5,3.5,0.5645749999999623,1
1789,5264,405.9,1.0,3.0,-0.17724999999995816,1
1789,5880,119.16575,1.5,3.5,-0.13689999999998292,1
2002,2049,229.65500000000003,1.0,3.0,0.40500000000001535,1
2002,2618,53.513000000000005,2.0,4.0,-0.18294999999999462,1
2002,2887,38.2315,3.0,5.0,0.13910000000000622,1
2002,2915,143.28785000000002,2.0,4.0,0.02035000000000764,1
2002,5264,260.01250000000005,2.0,4.0,-0.15499999999998693,1
2049,2324,221.19750000000002,2.0,4.0,0.903125000000017,1
2049,2330,941.3465,3.0,5.0,-3.020999999999958,1
2049,2344,176.10750000000002,1.0,3.0,0.7785750000000107,1
2049,2356,247.65912500000002,1.5,3.5,0.35737500000000466,1
2049,2881,272.13750000000005,1.0,3.0,0.26830000000003906,1
2049,2887,181.949,2.0,4.0,0.21800000000001063,1
2317,2356,195.999125,2.0,4.0,-0.8553249999999792,1
2317,2618,120.82192500000002,2.0,4.0,-0.49237499999999557,1
2317,2867,152.79362500000002,3.0,5.0,-0.6409749999999832,1
2317,2884,145.845,1.0,3.0,0.20625000000001137,1
2317,2887,122.94900000000001,2.0,4.0,0.1042500000000004,1
2317,2888,99.873125,3.0,5.0,-0.011624999999995111,1
2324,2823,177.66290000000004,2.0,4.0,0.1685250000000167,1
2324,2887,86.4924,2.0,4.0,0.21177500000000293,1
2337,2353,32.47299,1.5,3.5,0.07759000000000249,1
2337,2823,80.1968,2.0,4.0,0.21897500000001457,1
2337,2867,34.03665,1.0,3.0,-0.0035499999999970555,1
2337,5264,176.37165,2.0,4.0,-0.640099999999979,1
2330,2337,153.3218,3.0,5.0,-0.8017000000000039,1
2330,2356,505.29730000000006,2.0,4.0,-2.123199999999997,1
2330,2474,898.65,3.0,5.0,-4.493249999999932,1
