stock1,stock2,reward,theshold choose
1434,2311,0.16270000000000806,1
1319,2204,-0.2786749999999927,0
1319,2353,-0.3021749999999912,0
1319,2354,0,0
1319,2823,-1.8277750000000026,0
1319,9945,0,0
1722,2204,0,0
1722,2303,0,0
1722,2353,0,0
1722,2354,0,0
1722,2449,0.15750000000001307,1
1722,2542,0,0
1722,2603,0.13417499999999905,1
1722,2880,0.04265000000000896,1
1722,2891,0,0
1722,2892,0,0
1722,3034,0,0
1722,9945,0,0
1789,2204,0.11999999999999034,1
2204,2303,0.09722499999999101,1
2204,2317,0,0
2204,2327,0.003925000000002399,1
2204,2353,0,0
2204,2356,0,0
2204,2408,0,0
2204,2449,0,0
2204,2474,0,0
2204,2542,0,0
2204,2603,0.07604999999999507,1
2204,2823,0,0
2204,2880,0,0
2204,2891,0,0
2204,2892,0,0
2204,3034,0.3843750000000199,1
2204,3231,0.10237500000000921,1
2204,3682,0,0
2204,6116,0,0
2204,9910,0,0
2204,9945,0,0
2311,2881,0,0
2311,6176,0,0
2303,2317,0,0
2303,2353,0.06340000000000323,1
2303,2356,0.1436500000000045,1
2303,2408,0.08687500000000625,1
2303,2449,0,0
2303,2474,0,0
2303,2542,0.1688750000000212,1
2303,2603,0.27110000000000056,1
2303,2823,0,0
2303,2880,0.11620000000000275,1
2303,2883,0,0
2303,2891,0.05067500000001246,1
2303,2892,0.23882500000001272,1
2303,3034,0.4601250000000263,1
2303,3231,0,0
2303,3481,0,0
2303,3682,0.17777500000000934,1
2303,6116,0.09710000000000818,1
2303,9910,0.401625000000017,1
2303,9945,0.10037500000001032,1
2317,2353,0,0
2317,2449,0,0
2317,2474,0,0
2317,2603,0,0
2317,2823,0,0
2317,2880,0,0
2317,2892,0,0
2327,2353,0,0
2327,2354,0.39235000000002174,1
2327,2542,0,0
2327,2823,0,0
2327,3231,0,0
2327,9945,0,0
2354,2408,0.3992500000000163,1
2354,2474,0,0
2354,2542,0,0
2354,2603,0,0
2354,2823,0.19925000000000637,1
2354,2880,0,0
2354,2891,0,0
2354,2892,0,0
2354,3682,0,0
2353,2354,0,0
2353,2356,0.09440000000000737,1
2353,2408,0,0
2353,2449,0.08092500000000413,1
2353,2474,0,0
2353,2542,0,0
2353,2603,0,0
2353,2801,0,0
2353,2823,0,0
2353,2880,0,0
2353,2881,0,0
2353,2892,0,0
2353,3034,0.4608750000000228,1
2353,3231,0,0
2353,3481,0.228275,1
2353,3682,0,0
2353,6116,0.09777500000000572,1
2353,9910,0.40312500000002416,1
2356,2542,0,0
2356,2603,0,0
2356,2823,0,0
2356,2880,0.1016500000000029,1
2356,2887,0.1478500000000018,1
2356,2891,0.3404750000000014,1
2356,3682,0,0
2356,9910,0,0
2356,9945,0,0
2408,2474,0,0
2408,2542,0,0
2408,6176,-1.8896000000000015,0
2408,9910,0,0
2408,9945,0,0
2449,2542,0.20177499999998716,1
2449,2823,0,0
2449,2891,0,0
2449,2892,0.16559999999999775,1
2449,9945,0,0
2801,2823,0,0
2474,2542,0,0
2474,2603,0,0
2474,2823,0,0
2474,2880,0,0
2474,2891,0,0
2474,6176,0,0
2474,9910,0,0
2474,9945,0,0
2542,2603,0,0
2542,2880,0.07550000000000523,1
2542,3034,0.5260000000000389,1
2542,3231,0.19010000000000815,1
2542,3682,0,0
2542,6116,0.10195999999998939,1
2542,9910,0,0
2542,9945,0,0
2603,2823,0.27112500000000495,1
2603,2880,0,0
2603,3034,0,0
2603,3682,0.4320999999999984,1
2603,6116,0.40736499999999776,1
2823,2880,0.0648000000000053,1
2823,2891,0.4064750000000146,1
2823,3034,0,0
2823,3231,0,0
2823,4904,0,0
2881,3044,0,0
2881,4904,0,0
2883,2892,0,0
2883,3034,0,0
2891,2892,0,0
2891,9945,0,0
2892,3682,0,0
2880,2881,0,0
2880,2891,0.23340000000000316,1
2880,2892,0,0
2880,3034,-0.0619999999999834,0
2880,3231,0,0
2880,9945,0,0
3034,4904,0.8032500000000482,1
3034,9910,0,0
3034,9945,0,0
3231,9945,0,0
3682,6116,0,0
3682,9945,0,0
6116,9945,0.072720000000011,1
9910,9945,0,0
