stock1,stock2,reward,theshold choose
1326,1477,0,0
1326,2002,0,0
1326,2356,0,0
1326,2883,0.07540000000000191,1
1326,2891,0,0
1319,2891,0,0
1319,5871,0,0
1216,2887,0,0
1216,2891,0,0
1314,1722,0,0
1314,2337,-0.46997500000000514,0
1314,2891,0.1299750000000106,1
1314,3231,0.1382750000000037,1
1314,4915,0,0
1301,2891,0,0
1477,2324,0.069500000000005,1
1477,2330,0,0
1477,2618,0,0
1477,2888,-2.427449999999986,0
1477,2891,0,0
1477,2915,0,0
1477,5871,0,0
1477,9904,0,0
1722,2356,0,0
1722,2383,0.7021750000000253,1
1722,2474,0,0
1722,2886,0,0
1722,2887,0,0
1722,2888,0,0
1722,2891,0,0
1722,3034,0,0
1722,3189,0.677950000000024,1
1722,4915,0.15800000000001546,1
2002,2308,0,0
2002,2618,0,0
2002,2801,0.12525000000001185,1
2002,2883,0.13450000000000273,1
2002,2887,0,0
2002,2891,0,0
2308,2330,0,0
2308,2352,0,0
2308,2883,0,0
2308,2888,0,0
2308,2891,0,0
2308,3189,1.1477500000000873,1
2303,2353,-0.5451500000000067,0
2303,2888,0,0
2303,2891,0,0
2303,9904,0,0
2324,2330,0,0
2324,2352,0.1438250000000032,1
2324,2891,0,0
2324,9904,0.20770000000000266,1
2325,2801,0,0
2325,2887,0,0
2325,2891,0.2256750000000025,1
2330,2412,3.677899999999994,1
2330,2474,0,0
2330,2886,0,0
2330,4915,0,0
2337,2356,-0.13474999999999326,0
2337,2891,0,0
2345,2498,0.41362500000002456,1
2345,4938,0,0
2345,9904,0.2939500000000024,1
2354,2886,0,0
2354,2888,0,0
2354,2891,0.26890000000001635,1
2354,3034,1.145850000000081,1
2353,6239,0.39119999999999067,1
2352,2353,0,0
2352,2618,0,0
2352,2883,0,0
2352,2891,0,0
2352,3481,0,0
2352,9904,0.14784999999999826,1
2356,2474,0,0
2356,2881,0,0
2356,2887,0,0
2356,2888,0,0
2356,2891,-0.11247499999999278,0
2356,3034,0.32362500000002115,1
2356,3189,0,0
2377,2888,0,0
2383,2886,0,0
2409,2891,0,0
2412,2498,0,0
2412,2610,0,0
2412,2618,0,0
2412,2801,0,0
2412,2887,0,0
2412,2888,0,0
2412,9904,0,0
2474,2891,0,0
2474,3189,1.9662500000000591,1
2498,2801,0,0
2498,2888,0,0
2498,2891,0,0
2498,5871,0,0
2498,9904,-1.251749999999987,0
2610,2801,0,0
2610,2883,0,0
2610,2891,0,0
2610,4938,0,0
2610,5871,0,0
2610,9904,0,0
2801,2834,0,0
2801,2888,-0.24405000000000143,0
2801,2891,0,0
2801,4958,-0.7623499999999837,0
2887,5871,0,0
2887,9904,0,0
2883,2887,0,0
2883,4958,0,0
2886,2887,0,0
2886,2891,0,0
2886,3189,0,0
2886,4915,0,0
2888,2891,0,0
2888,3034,0,0
2888,5871,0,0
2888,9904,0,0
2891,3034,0,0
2891,3189,0,0
2891,5871,0,0
2891,9904,0,0
2891,9938,0,0
3481,9904,0,0
3034,4915,0,0
3189,4915,0,0
4938,9904,0,0
6239,9904,0,0
