stock1,stock2,reward,theshold choose
1101,1301,0,0
1101,1434,0.528800000000011,1
1101,1802,0,0
1434,2105,0,0
1434,2887,0.16747500000000315,1
1434,6456,0,0
1301,1326,0,0
1301,2002,0,0
1301,2201,0,0
1301,2311,0,0
1301,2354,0,0
1301,2357,0,0
1301,2409,0,0
1301,2449,0,0
1301,2615,0,0
1301,2801,0,0
1301,2823,0,0
1301,2867,0,0
1301,2880,0.11112500000000125,1
1301,2883,0,0
1301,2890,0,0
1301,3034,0,0
1301,6285,0,0
1301,6456,0,0
1402,2105,0,0
1326,2105,0.12365000000002624,1
1326,2603,0.13587499999999864,1
1326,2618,0.448750000000004,1
1326,2801,0,0
1326,2823,0,0
1326,2867,0.20504999999999995,1
1326,2880,0.31562499999999716,1
1326,2881,0,0
1326,2883,0,0
1326,2884,0,0
1326,2887,0,0
1326,2915,0.20255000000003065,1
1326,6456,0,0
1326,9945,0,0
1477,1536,0,0
1477,2603,-0.6501249999999743,0
1477,2880,-0.1711249999999893,0
1477,2886,0,0
1477,2892,0,0
1314,1402,0,0
1314,1477,0,0
1314,1504,0,0
1314,1536,0,0
1314,2201,0,0
1314,2308,0,0
1314,2311,-0.3708249999999893,0
1314,2354,-0.17189999999998662,0
1314,2409,-0.2477149999999977,0
1314,2449,0.04791499999999971,1
1314,2603,0,0
1314,2606,-0.40740000000000265,0
1314,2615,-0.2942749999999954,0
1314,2801,0,0
1314,2809,0,0
1314,2867,0,0
1314,2880,0,0
1314,2883,-0.30642500000000084,0
1314,2887,-0.2354099999999999,0
1314,2888,0,0
1314,2890,-0.24092999999999876,0
1314,2892,0,0
1314,6116,0,0
1314,6456,0.35550000000001347,1
1314,9945,0,0
1536,2409,0,0
1536,2603,0.46537500000000875,1
1536,2880,0,0
1536,2890,0,0
1536,2892,0,0
1504,2105,0,0
1504,2201,0,0
1504,2354,0,0
1504,2377,0,0
1504,2603,0.10967500000000285,1
1504,2881,0,0
1504,2892,0.13912500000000705,1
1504,2912,0,0
1504,2915,0.8188000000000386,1
1504,6456,0,0
1802,6285,0,0
2002,2105,0,0
2002,2881,0,0
2002,2892,0.1478250000000081,1
2002,6285,0,0
2049,2409,0,0
2105,2354,0,0
2105,2603,-0.634875000000001,0
2105,2606,0,0
2105,2801,0,0
2105,2809,0,0
2105,2823,0,0
2105,2867,0,0
2105,2880,0,0
2105,2883,0,0
2105,2884,0,0
2105,2886,0,0
2105,2887,0,0
2105,2890,0,0
2105,2892,0,0
2105,6456,0.7035000000000196,1
2105,9945,0,0
2201,2308,0.3037000000000063,1
2201,2606,0,0
2201,2809,0.06687500000001023,1
2201,2880,0,0
2201,2887,0,0
2201,2890,0,0
2201,2892,0,0
2201,6456,0,0
2308,2311,0,0
2308,2409,0,0
2308,2603,0,0
2308,2801,0,0
2308,2809,0.35770000000000834,1
2308,2823,0,0
2308,2845,0,0
2308,2892,0,0
2308,6116,0,0
2308,9933,0,0
2311,2354,0,0
2311,2449,0,0
2311,2603,0,0
2311,2606,0,0
2311,2618,0,0
2311,2801,0,0
2311,2809,0,0
2311,2867,0,0
2311,2880,0,0
2311,2883,0,0
2311,2884,0.09500000000002728,1
2311,2887,0,0
2311,2890,0,0
2311,2892,0,0
2311,4915,0,0
2311,6456,0.7912500000000193,1
2311,9938,0,0
2344,2867,-0.15753999999998314,0
2344,2880,0.12642499999999934,1
2344,2887,-0.0918399999999906,0
2344,2892,0,0
2347,2880,0,0
2354,2383,0.6109500000000594,1
2354,2603,0,0
2354,2801,0,0
2354,2823,0,0
2354,2867,0.08880000000000621,1
2354,2880,0.1237249999999932,1
2354,2883,0,0
2354,2887,0.12449999999999761,1
2354,2890,0,0
2354,2892,0,0
2354,6456,0,0
2354,9945,0,0
2357,2409,0,0
2357,2449,-0.11162499999997522,0
2357,2603,0,0
2357,2880,0,0
2357,2881,-1.7173749999999757,0
2357,2892,0,0
2357,3189,0,0
2377,2603,0,0
2377,2801,0,0
2377,2890,0,0
2379,2845,0,0
2409,2449,0.07487000000000066,1
2409,2603,0,0
2409,2845,0,0
2409,2867,0,0
2409,2880,0,0
2409,2881,0,0
2409,2887,0,0
2409,2892,0.11707000000000711,1
2409,3189,0,0
2409,6176,0,0
2409,6456,0,0
2409,9933,0,0
2449,2880,0,0
2449,2892,0.061949999999999505,1
2449,6456,0,0
2603,2801,0,0
2603,2845,0.13670500000000274,1
2603,2886,0,0
2603,2890,0,0
2603,2892,0,0
2603,6285,0,0
2606,2809,0,0
2606,2867,0,0
2606,2880,0,0
2606,2892,0.08732500000000698,1
2606,2915,-0.17804999999999183,0
2606,6456,0.850625000000008,1
2615,2618,0.3841000000000001,1
2615,2867,0.30552500000000293,1
2615,2880,0,0
2615,2892,0.20060000000000855,1
2615,6456,0,0
2615,9933,0,0
2618,2845,0,0
2618,9945,0,0
2823,2845,0,0
2823,2880,0,0
2823,2881,0,0
2823,2884,0,0
2823,2892,0.0943000000000076,1
2823,9945,0,0
2801,2880,0,0
2801,2883,0.06319999999998771,1
2801,2890,0,0
2801,2892,0.10577500000000839,1
2801,6456,0,0
2801,9933,-1.8103499999999855,0
2801,9938,0.3511500000000183,1
2809,2823,0,0
2809,2867,0,0
2809,2880,0.14842499999999959,1
2809,2883,0,0
2809,2886,0,0
2809,2887,0,0
2809,2890,0,0
2809,2892,0,0
2809,6456,0,0
2881,2884,0,0
2881,2886,0,0
2881,2887,0,0
2845,2867,0,0
2845,2880,0,0
2845,2892,0,0
2845,3034,0,0
2845,3189,0,0
2883,2886,0.1110000000000042,1
2883,2887,0.030600000000001515,1
2883,2892,0.10224000000000544,1
2883,6456,0,0
2883,9945,0,0
2867,2880,0.20250000000000412,1
2867,2881,0,0
2867,2883,0,0
2867,2884,0,0
2867,2887,0,0
2867,2892,0,0
2867,3702,0,0
2867,6456,0,0
2867,9945,0,0
2880,2883,0,0
2880,2884,0,0
2880,2886,0.14722499999999883,1
2880,2890,0.03826000000000107,1
2880,2892,0.05237500000000139,1
2880,3034,0.9286250000000109,1
2880,4915,0.11999999999999744,1
2880,6116,0.06372999999999962,1
2880,6456,0.4503750000000082,1
2880,9933,-1.2295499999999961,0
2880,9938,0,0
2880,9945,0,0
2884,2886,0,0
2884,2887,0,0
2884,6456,0,0
2884,9945,0,0
2888,6456,0,0
2887,2890,0,0
2887,6456,0.4848750000000095,1
2887,9945,0.09695000000000675,1
2912,6456,0,0
2886,2892,0,0
2886,6116,0,0
2915,6456,0,0
2892,2915,0.13955000000000695,1
2892,4915,0,0
2892,6116,0,0
2892,6456,-0.04999999999998295,0
2892,9933,0.07000000000000739,1
2892,9945,0,0
2890,2892,0.11653000000000624,1
2890,2915,0,0
2890,6456,0,0
2890,9938,0,0
3044,9933,0.40670000000002915,1
6456,9945,0,0
