stock1,stock2,reward,theshold choose
1301,2845,0,1
1101,2412,0,1
1101,4943,0,1
1101,4958,0,1
1101,5871,0,1
1303,2379,0,1
1303,2412,0,1
1303,2618,0,1
1303,2845,0,1
1303,2883,0,1
1303,2891,0,1
1303,3189,0,1
1303,4943,0,1
1303,5880,0,1
1476,2618,0,1
1476,3702,0,1
1476,4958,-9.456249999999955,0
1504,2049,1.031875000000042,1
1504,2412,1.0542500000000388,1
1504,2618,0,1
1504,2823,0,1
1504,2883,0,1
1504,2884,0,1
1504,3443,0,1
1504,3481,0,1
1504,5880,0,1
1504,6116,0,1
1477,1504,0,1
1477,2308,1.512250000000023,1
1477,2412,1.6900000000000546,1
1477,2618,0,1
1477,2883,0,1
1477,2884,0.4267500000000126,1
1477,3702,0,1
1477,5880,0,1
1722,2347,0,1
1722,2412,0.33497500000002134,1
2049,2881,0,1
2049,6116,0.418375000000033,1
2105,2308,0,1
2105,2379,2.9290000000000305,1
2105,2412,1.5599500000000717,1
2105,2618,0,1
2105,2881,0,1
2105,2883,0,1
2105,2884,0,1
2105,2887,0,1
2308,2412,1.3022500000000719,1
2308,2618,0.4286249999999967,1
2308,2887,0,1
2308,4958,1.4391499999999837,1
2308,5880,0.4188749999999999,1
2317,2412,1.2215000000000487,1
2317,2618,0.4841250000000059,1
2317,3481,0,1
2317,5871,0,1
2311,2618,0,1
2311,5880,0,1
2311,9914,0,1
2327,2385,1.4350000000000591,1
2327,2618,0,1
2327,2887,0.6548750000000183,1
2327,3443,2.1037500000000477,1
2327,3481,-4.838374999999999,1
2327,4915,0,1
2347,2887,0,1
2352,2412,0,1
2352,3481,0,1
2352,4915,0.325800000000001,1
2357,3443,0,1
2357,3532,0,1
2379,2412,0,1
2379,2618,-0.28274999999997874,1
2379,2883,0,1
2379,2884,0,1
2379,4943,-5.6469999999999345,0
2385,3481,0,1
2412,2618,1.2597500000000537,1
2412,2845,0,1
2412,2881,1.641700000000064,1
2412,2884,0.2310500000000104,1
2412,2887,0,1
2412,2888,0.2125000000000128,1
2412,2891,0.7853750000000304,1
2412,3443,0,1
2412,3481,0.46435000000001736,1
2412,4915,1.0072000000000543,1
2412,5880,0.46987500000001603,1
2412,6116,0.3101000000000127,1
2412,6505,1.0260000000000247,1
2412,9904,0.8110500000000513,1
2454,4915,-6.599499999999921,0
2454,9904,0,1
2618,2823,0,1
2618,2845,0,1
2618,2881,0.11182500000001028,1
2618,2884,0.12642500000000467,1
2618,2887,0.13407500000000283,1
2618,2888,0.2624500000000083,1
2618,3443,0,1
2618,3481,-0.01502499999999607,1
2618,3532,0,1
2618,4915,0,1
2618,5871,-0.043299999999987904,1
2618,5880,0.05252500000000282,1
2823,2881,0,1
2823,2883,0,1
2823,2887,0,1
2823,2888,0,1
2823,4915,-0.8944749999999857,1
2823,4943,-0.2816249999999343,1
2823,4958,0,1
2823,5871,0.2984750000000105,1
2823,5880,-0.04367499999999325,1
2845,2883,0,1
2845,6116,0,1
2884,5871,0,1
2884,5880,0,1
2883,2884,0,1
2883,2887,0,1
2883,2888,0,1
2883,2891,0,1
2883,3443,0,1
2883,3532,0,1
2883,3702,0,1
2883,4943,0,1
2883,4958,0,1
2883,5880,0,1
2881,2883,0,1
2881,2887,0,1
2881,2888,0,1
2881,3481,0,1
2881,5871,0,1
2881,5880,0,1
2887,3481,0,1
2887,4915,0,1
2887,4943,7.341374999999985,1
2887,5880,0,1
2888,4958,0.16279999999999717,1
2891,5880,0,1
3443,5880,0,1
3532,5880,0,1
3481,4958,0,1
3481,5880,0,1
3702,4943,0,1
4915,5880,0,1
4943,5880,0,1
4958,5880,0,1
5880,6116,0,1
